,"Los Angeles, California","San Diego, California","Santa Cruz, California","Baltimore, Maryland","Houston, Texas"
2020-04-19,0.011192246495122952,0.036632480862172204,0.01097389925200339,0.021442703258836217,0.02461895279835668
2020-04-20,0.011446335310172985,0.040140933630259355,0.011708974483814649,0.022458623253003917,0.027558092376699123
2020-04-21,0.011542755495432407,0.04079407296001096,0.011971418895984217,0.02352378455730015,0.030196439824067587
2020-04-22,0.011935131307291116,0.04430240751968562,0.012391284925299024,0.02386232739973666,0.03277742896711517
2020-04-23,0.015015084108910969,0.052048149832654406,0.01278516281446424,0.027587596131653406,0.034916270327280854
2020-04-24,0.015129974548480345,0.05525565855546073,0.012995208493829333,0.02908773400082572,0.03698294586236945
2020-04-25,0.01591173544163199,0.06017938498872849,0.013310248851137471,0.03078073813677349,0.038104015426944256
2020-04-26,0.016573629720291784,0.060778841560148636,0.01373011493408908,0.03232836086808847,0.038944336529294785
2020-04-27,0.01690242848753816,0.06242212859011615,0.01383584158437674,0.03387715358843103,0.04071610300374013
2020-04-28,0.01822747406074446,0.06471301335223978,0.013888972450237557,0.037650305683408394,0.041830487610613074
2020-04-29,0.01902322714687224,0.0650366466115909,0.014177630564259816,0.039536469145120025,0.044838163011984296
2020-04-30,0.01963514566438497,0.07253882472417318,0.014256749695392722,0.04045595582612202,0.04622865729568267
2020-05-01,0.02157807862507596,0.07429039952631991,0.014624217027618723,0.04548596480634105,0.04828821060756585
2020-05-02,0.02288440773561433,0.07911272805060293,0.014702941894741089,0.04872653801179022,0.049642506309692164
2020-05-03,0.023603494087741442,0.0796219647048582,0.014965358172016618,0.05114528155131905,0.05117401604615564
2020-05-04,0.024139629115409903,0.08123588767957907,0.01507184509020036,0.052596470069047815,0.05228049296634389
2020-05-05,0.0254662069199388,0.08611225358743103,0.01517695237929553,0.055256976643314276,0.055464921247029494
2020-05-06,0.027030968674578083,0.0900468727844117,0.015203531888606393,0.056128046594483574,0.05711824863923017
2020-05-07,0.02862715192436102,0.09579896598064239,0.015256156004444986,0.0591754584155801,0.058679750269842006
2020-05-08,0.02942825931131956,0.09825056780430652,0.015676275390867904,0.060481850033571045,0.06041327475186692
2020-05-09,0.03013494619815473,0.10104493260107178,0.015886208655652753,0.06323884378609453,0.062210287580209474
2020-05-10,0.03344704461580908,0.1056114917995289,0.016069900155122337,0.06739879573772742,0.06316805660003219
2020-05-11,0.034209940145469325,0.10644436171313532,0.01630686319499527,0.06913986995880739,0.06432660746621582
2020-05-12,0.03553552105828504,0.11422385100660495,0.016517049620460862,0.07073609493380306,0.06616414888223175
2020-05-13,0.04253968781297697,0.12629823602520113,0.016753477811133212,0.08036321323179628,0.068652673684901
2020-05-14,0.08722606017774409,0.17262544644478947,0.01691123742246477,0.12661155773754343,0.07045030398107088
2020-05-15,0.09070886391713064,0.17813997979040472,0.017304918206388877,0.13091659980486042,0.07230778440086712
2020-05-16,0.0931951023727387,0.18915901181487063,0.017593576123839293,0.13536707595972222,0.07439137661049118
2020-05-17,0.0939203437445727,0.19336805923475403,0.018092167091744174,0.13614147257611356,0.07572871917083764
2020-05-18,0.09697422645378888,0.19875055373538408,0.01835497768670336,0.14068862250412778,0.07668003460299441
2020-05-19,0.09929683587347977,0.20730484524189768,0.018617562880634944,0.1444133587676567,0.07891752582672704
2020-05-20,0.10048272333858993,0.21115466791089643,0.018801395090453196,0.14693204681966737,0.08148084903837444
2020-05-21,0.10124020446504839,0.21325867239736215,0.019247896916824308,0.15278896485745005,0.0838331968803205
2020-05-22,0.10192816613210762,0.22347202485595866,0.01974665692659803,0.15796704189314018,0.08585932359678793
2020-05-23,0.07259866671722534,0.19479929271973354,0.01974665735551207,0.12865145109100726,0.08786057399208802
2020-05-24,0.07372735619723607,0.199872794639547,0.01993034885498178,0.12816986962676202,0.08972196905791444
2020-05-25,0.07456648803937647,0.20255896646076188,0.019956590656157534,0.13910111293352534,0.09177606903150926
2020-05-26,0.07540046361043318,0.20306820311501717,0.02024648751028696,0.1458247634671633,0.0953726925859883
2020-05-27,0.07571665048938381,0.20367329608066165,0.02189979439192702,0.15008247753788037,0.09712602438940308
2020-05-28,0.0795775371502122,0.21015330379817052,0.022109924940549582,0.15482307957160743,0.09927079951809228
2020-05-29,0.08342688082951506,0.21465995280200934,0.022530016263509887,0.1628063542284009,0.10283773394372163
2020-05-30,0.08512575520380351,0.21956615559875797,0.02253001683537708,0.1685143244295868,0.10700213818754353
2020-05-31,0.13936613507578327,0.27325867417068095,0.023317265881443776,0.2238569960206956,0.10968286094860497
2020-06-01,0.14048858437866224,0.27369625500821926,0.023842915027370272,0.2255986553643151,0.11162005824995533
2020-06-02,0.14117044706046164,0.277582023793989,0.02578482369948096,0.22681153897946368,0.11391442389230545
2020-06-03,0.15343686658826872,0.2907007020233081,0.028356840792350783,0.23924457545114758,0.11614065425011937
2020-06-04,0.17005131432531784,0.3082812204755811,0.02688747948209061,0.2614490457923342,0.11896558127905327
2020-06-05,0.17687138590161386,0.3170552323300232,0.0275697901557905,0.2687530299053883,0.12174694716609286
2020-06-06,0.17812656290339135,0.32226605486380866,0.02935422095890728,0.2736863654740477,0.12432442948911554
2020-06-07,0.17929388444234431,0.3241065727023665,0.03048261188191429,0.2811826550679789,0.12732651387664945
2020-06-08,0.17971701989938862,0.3249632884854077,0.03266134254418718,0.28374590305639424,0.12892179081765243
2020-06-09,0.18149012537095727,0.3264930773590543,0.03434136964534208,0.28592248612943155,0.13126978386521054
2020-06-10,0.1836537910920695,0.32801088419377733,0.035653648333261685,0.2870834429400835,0.13374657135879808
2020-06-11,0.1851112634106083,0.3300310144077774,0.03772746888323819,0.2894535307009559,0.13735537124669409
2020-06-12,0.186500824546941,0.3306370296289382,0.03919739478572183,0.29279082932944256,0.14054628396731392
2020-06-13,0.18823038895364874,0.33261015394276006,0.04061444300076566,0.29564508138368256,0.14363020320329167
2020-06-14,0.18999062878807457,0.3342359173362084,0.04336981424216287,0.29956273736572986,0.14561357548887643
2020-06-15,0.19111278502359677,0.3352543906447189,0.04505006717302422,0.3005305862458096,0.1471550781768904
2020-06-16,0.1847891829954138,0.3281363223845269,0.04591609737392291,0.2943868917678215,0.14973205175675514
2020-06-17,0.18691003675077744,0.3308054434028726,0.04956663999622205,0.2961771543089924,0.1539278075211652
2020-06-18,0.1866390860685272,0.33136064751035416,0.05059059899309307,0.29728926764510977,0.15599844634633714
2020-06-19,0.18856196553858895,0.3339620248205639,0.05056573748242514,0.2975316697757379,0.15875309683972733
2020-06-20,0.19189818781916157,0.3356355981612945,0.057152385142030235,0.30028861030686116,0.16279253872783936
2020-06-21,0.19463404819958285,0.33749305061128565,0.059304198962044086,0.30232015648629335,0.1663023605901064
2020-06-22,0.19572732848910243,0.33930233848875735,0.063004268894311,0.30362596228630073,0.171373934409276
2020-06-23,0.20097892821331576,0.3458980200870736,0.06720292936605644,0.3089471109142564,0.17599709290195306
2020-06-24,0.20656732578732595,0.35242583976884134,0.07198118601174329,0.31489703226415855,0.17844574427825902
2020-06-25,0.21118655849187018,0.35548864378602435,0.07570856653235704,0.3176059554150339,0.18238671490327374
2020-06-26,0.21555691433417035,0.36092229472921544,0.07956763365482247,0.32258784162550824,0.18590423002562967
2020-06-27,0.2191893004297668,0.36546120486171363,0.08119557179318612,0.3275220019533937,0.19016810675243362
2020-06-28,0.22103199121969758,0.3684387415342415,0.08119698120096165,0.3295538410670147,0.1951964098395326
2020-06-29,0.22268627195813911,0.3756445735488152,0.08639304866929698,0.33129491510814707,0.20093186755071088
2020-06-30,0.2266579790307358,0.37754419955186425,0.10122412671567946,0.3328439997330451,0.20642693069111748
2020-07-01,0.23199222024055885,0.383181899781995,0.10274935110532667,0.33685949965552325,0.21036992467176122
2020-07-02,0.24247373956941098,0.3892933399714764,0.11282821841661705,0.34121348950650154,0.21467493241143554
2020-07-03,0.25125682786231623,0.3922231849051347,0.1174467448100795,0.34266555515516994,0.2199438395916771
2020-07-04,0.2675892815413049,0.4034184888606943,0.11744730999250655,0.3508896097627489,0.2262958468828442
2020-07-05,0.2702869650006932,0.40889659395953293,0.12618723684594674,0.3524378162297889,0.2292785048455468
2020-07-06,0.27144179746704317,0.4105381332920735,0.1316509011852655,0.35287367015900484,0.23242334728105407
2020-07-07,0.2769599356035504,0.414871719273855,0.14700467297896722,0.3554866913069342,0.2403325983897383
2020-07-08,0.28861792513237033,0.4192514236254147,0.15270180825222934,0.3586791405344153,0.2452473561151089
2020-07-09,0.29167661119676214,0.4255886780434128,0.1592115055274904,0.36134023264320975,0.24870588522783105
2020-07-10,0.29717219292080277,0.4294065869296109,0.16482974782147292,0.36279142159795524,0.25393061994405486
2020-07-11,0.30265724306703967,0.4333210379658896,0.1648297499839279,0.3648229147623213,0.2596797124047534
2020-07-12,0.31514691776512116,0.4455574209607337,0.17110150026561396,0.3743051310318843,0.2662720643911314
2020-07-13,0.3229948849547152,0.45086490586998895,0.18343911870562235,0.3772079855107725,0.2714160922360243
